file;date;organism;folder;pixel_area;plant_area;plant_pixel_count;plant_pixel_width;plant_pixel_height;plant_number
ABAG (1),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,00023287037037037037;306,5347203703704;1316332;1870;1807;1
ABAG (2),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,00022576301615798923;176,35861804308797;781167;1411;1319;2
ABAG (3),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,00022415329768270945;161,12408021390374;718812;1525;1321;3
ABAG (4),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,000223654957759004;221,44658870609157;990126;1674;1653;4
ABAG (5),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,00022678088367899008;182,0762484220018;802873;1817;1928;5
ABAG (6),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,00023020594965675057;192,0603633867277;834298;1720;1351;6
ABAG (7),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,00022894856622667273;189,77226126536186;828886;1424;1379;7
ABAG (8),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,00022525750111957008;244,90964128974474;1087243;1854;1534;8
ABAU (1),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,0002279111916628908;583,1071372904395;2558484;2307;2737;9
ABAU (2),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,00022335701598579042;406,35431261101246;1819304;1933;2111;10
ABAU (3),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,00022894856622667273;533,8627246244879;2331802;2432;2232;11
ABAU (4),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,00022853248523398454;256,2525615629259;1121296;1610;1569;12
ABAU (5),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,00022770484382073335;326,9459013128112;1435832;1927;1725;13
ABAU (6),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,00022355555555555556;367,9561248888889;1645927;2095;1895;14
ABAU (7),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,0002229609929078014;275,84577969858157;1237193;1704;2015;15
ABAU (8),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,00022968036529680367;591,861495890411;2576892;2616;2473;16
UG (1),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,00021965065502183405;86,28932052401747;392848;1141;933;17
UG (2),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,00022385402759234535;143,09958255451713;639254;1487;1009;18
UG (3),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,00021984265734265734;123,70832124125874;562713;1214;1412;19
UG (4),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,00022445336903168227;168,96804730031235;752798;1219;1195;20
UG (5),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,00022345624167036872;127,08939671257218;568744;1253;1134;21
UG (6),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,00022435325602140945;99,67095316681534;444259;1195;1076;22
UG (7),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,0002195547795722392;47,3476468790921;215653;837;725;23
UG (8),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,00022139084507042254;138,75117737676058;626725;1292;1444;24
UU (1),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,00023276260990282276;480,427147616844;2064022;2500;2183;25
UU (2),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,00022667868409193332;266,8837755745832;1177366;2087;1564;26
UU (3),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,00022455357142857143;321,8829486607143;1433435;1869;1960;27
UU (4),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,00022556053811659192;230,5670798206278;1022196;1759;1446;28
UU (5),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,00022355555555555556;252,20688266666667;1128162;2030;1589;29
UU (6),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,0002251566696508505;288,9716987466428;1283425;1692;1756;30
UU (7),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,00022760180995475113;279,54145339366517;1228204;1623;1862;31
UU (8),JPG;2022-07-18;Pflanzenname;2022-07-18_ABA;0,00022276350752878653;286,1034149689991;1284337;1795;1653;32
