"";"file";"date";"organism";"folder";"pixel_area";"plant_area";"plant_pixel_count";"plant_pixel_width";"plant_pixel_height";"plant_number";"Gruppe";"Behandlung";"Stress"
"1";"ABAG_1,JPG";"2022-07-04";"Pflanzenname";"2022-06-29_ABA-Positivkontrolle_Tomate_2_Fotos";0,000195796029583496;28,5161253405995;145642;806;694;1;"ABAG";"ABA";"Gestresst"
"2";"ABAG_2,JPG";"2022-07-04";"Pflanzenname";"2022-06-29_ABA-Positivkontrolle_Tomate_2_Fotos";0,000195719844357977;23,09533307393;118002;387;667;2;"ABAG";"ABA";"Gestresst"
"3";"ABAG_3,JPG";"2022-07-04";"Pflanzenname";"2022-06-29_ABA-Positivkontrolle_Tomate_2_Fotos";0,000197953561589925;27,8880936639118;140882;467;679;3;"ABAG";"ABA";"Gestresst"
"4";"ABAG_4,JPG";"2022-07-04";"Pflanzenname";"2022-06-29_ABA-Positivkontrolle_Tomate_2_Fotos";0,000193759630200308;16,0636421417565;82905;406;265;4;"ABAG";"ABA";"Gestresst"
"5";"ABAG_5,JPG";"2022-07-04";"Pflanzenname";"2022-06-29_ABA-Positivkontrolle_Tomate_2_Fotos";0,000202414486921529;30,1767613682093;149084;540;619;5;"ABAG";"ABA";"Gestresst"
"6";"ABAG_6,JPG";"2022-07-04";"Pflanzenname";"2022-06-29_ABA-Positivkontrolle_Tomate_2_Fotos";0,000196637998436278;39,3981927286943;200359;609;735;6;"ABAG";"ABA";"Gestresst"
"7";"ABAG_7,JPG";"2022-07-04";"Pflanzenname";"2022-06-29_ABA-Positivkontrolle_Tomate_2_Fotos";0,000192425401683244;21,1096438408569;109703;295;250;7;"ABAG";"ABA";"Gestresst"
"8";"ABAG_8,JPG";"2022-07-04";"Pflanzenname";"2022-06-29_ABA-Positivkontrolle_Tomate_2_Fotos";0,000195415695415695;39,2863714063714;201040;513;632;8;"ABAG";"ABA";"Gestresst"
"9";"ABAU_1,JPG";"2022-07-04";"Pflanzenname";"2022-06-29_ABA-Positivkontrolle_Tomate_2_Fotos";0,000197564807541241;25,3795703063629;128462;653;607;9;"ABAU";"ABA";"Ungestresst"
"10";"ABAU_2,JPG";"2022-07-04";"Pflanzenname";"2022-06-29_ABA-Positivkontrolle_Tomate_2_Fotos";0,00019383429672447;26,7227714836223;137864;534;634;10;"ABAU";"ABA";"Ungestresst"
"11";"ABAU_3,JPG";"2022-07-04";"Pflanzenname";"2022-06-29_ABA-Positivkontrolle_Tomate_2_Fotos";0,000195491643995336;33,1112017100661;169374;389;794;11;"ABAU";"ABA";"Ungestresst"
"12";"ABAU_4,JPG";"2022-07-04";"Pflanzenname";"2022-06-29_ABA-Positivkontrolle_Tomate_2_Fotos";0,000195036835982939;24,8008840635905;127160;368;511;12;"ABAU";"ABA";"Ungestresst"
"13";"ABAU_5,JPG";"2022-07-04";"Pflanzenname";"2022-06-29_ABA-Positivkontrolle_Tomate_2_Fotos";0,000197797876523791;21,9187738891074;110814;551;389;13;"ABAU";"ABA";"Ungestresst"
"14";"ABAU_6,JPG";"2022-07-04";"Pflanzenname";"2022-06-29_ABA-Positivkontrolle_Tomate_2_Fotos";0,000196714900273758;24,5612323034806;124857;509;504;14;"ABAU";"ABA";"Ungestresst"
"15";"ABAU_7,JPG";"2022-07-04";"Pflanzenname";"2022-06-29_ABA-Positivkontrolle_Tomate_2_Fotos";0,000196254389387437;21,3030214592275;108548;371;316;15;"ABAU";"ABA";"Ungestresst"
"16";"ABAU_8,JPG";"2022-07-04";"Pflanzenname";"2022-06-29_ABA-Positivkontrolle_Tomate_2_Fotos";0,00019435857805255;29,0803191653787;149622;505;625;16;"ABAU";"ABA";"Ungestresst"
"17";"UG1,JPG";"2022-07-04";"Pflanzenname";"2022-06-29_ABA-Positivkontrolle_Tomate_2_Fotos";0,000196868884540117;16,4789099804305;83705;326;332;17;"UG";"Kontrolle";"Gestresst"
"18";"UG2,JPG";"2022-07-04";"Pflanzenname";"2022-06-29_ABA-Positivkontrolle_Tomate_2_Fotos";0,000195719844357977;25,5265649805447;130424;471;535;18;"UG";"Kontrolle";"Gestresst"
"19";"UG3,JPG";"2022-07-04";"Pflanzenname";"2022-06-29_ABA-Positivkontrolle_Tomate_2_Fotos";0,000196407653260445;26,4625923467396;134733;589;652;19;"UG";"Kontrolle";"Gestresst"
"20";"UG4,JPG";"2022-07-04";"Pflanzenname";"2022-06-29_ABA-Positivkontrolle_Tomate_2_Fotos";0,000192646495595557;20,796381846036;107951;303;278;20;"UG";"Kontrolle";"Gestresst"
"21";"UG5,JPG";"2022-07-04";"Pflanzenname";"2022-06-29_ABA-Positivkontrolle_Tomate_2_Fotos";0,000195339805825243;14,4307281553398;73875;362;414;21;"UG";"Kontrolle";"Gestresst"
