file;date;organism;folder;pixel_area;plant_area;plant_pixel_count;plant_pixel_width;plant_pixel_height;plant_number
ABAG (1),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,0002232578783843764;247,0044793608522;1106364;1797;1494;1
ABAG (2),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,00022385402759234535;214,70287494437028;959120;1630;1360;2
ABAG (3),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,00022080772607550484;200,20437796312555;906691;1366;1578;3
ABAG (4),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,0002195547795722392;216,7938782191183;987425;1447;1402;4
ABAG (5),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,00022197705207413945;218,6866862312445;985177;1918;1909;5
ABAG (6),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,00022606741573033708;220,20684404494384;974076;1842;1533;6
ABAG (7),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,00022071083808688022;189,47672312417728;858484;1463;1382;7
ABAG (8),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,00022915717539863327;318,7317362186788;1390887;1794;1856;8
ABAU (1),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,0002279111916628908;528,6142550974173;2319387;1950;2570;9
ABAU (2),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,0002200349956255468;433,29599387576553;1969214;2164;2316;10
ABAU (3),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,0002256617317182593;538,236402422611;2385147;2724;2662;11
ABAU (4),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,00022576301615798923;285,5897639138241;1264998;1843;1793;12
ABAU (5),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,00021841076856274425;324,5221458966565;1485834;1992;1756;13
ABAU (6),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,00022187913542126157;385,81098456109396;1738834;2260;2089;14
ABAU (7),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,00022158590308370043;246,9552731277533;1114490;1789;2108;15
ABAU (8),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,00022148833113166006;622,0282721268164;2808402;2404;2753;16
UG (1),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,00021495726495726495;83,7690611111111;389701;1011;1054;17
UG (2),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,0002190766550522648;169,13703614982578;772045;1458;1309;18
UG (3),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,00021784322217410134;151,78095799047207;696744;1209;1493;19
UG (4),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,0002221731448763251;185,24552429328622;833789;1678;1226;20
UG (5),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,000217560553633218;141,82772491349482;651900;1243;1125;21
UG (6),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,00021737251512532412;138,6999675885912;638075;1154;1297;22
UG (7),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,0002144075021312873;59,77852685421995;278808;898;813;23
UG (8),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,00021879077859939105;132,9022705524141;607440;1061;1368;24
UU (1),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,00022100175746924428;433,3150518453427;1960686;2058;2175;25
UU (2),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,00021746649373108519;308,64497535667965;1419276;2086;1759;26
UU (3),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,0002202276707530648;321,5486961471103;1460074;1803;1800;27
UU (4),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,00022051731696624287;301,94465935992986;1369256;2125;1552;28
UU (5),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,00022435325602140945;316,46731846565564;1410576;2053;1761;29
UU (6),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,00022236958443854995;382,6769297082228;1720905;2229;1964;30
UU (7),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,00022042068361086765;375,40750350569675;1703141;1953;2153;31
UU (8),JPG;2022-07-14;Pflanzenname;2022-07-14_ABA;0,00022286220646876385;363,46129242357114;1630879;2145;1823;32
