file;date;organism;folder;pixel_area;plant_area;plant_pixel_count;plant_pixel_width;plant_pixel_height;plant_number
ABAG1,JPG;06,05,2022;Pflanzenname;2022_05_06_Weizen_ABA;0,000104249;384,6794582;1271813;2348;2849;1
ABAG2,JPG;06,05,2022;Pflanzenname;2022_05_06_Weizen_ABA;7,55E-05;329,4589363;1140989;1989;2930;2
ABAG3,JPG;06,05,2022;Pflanzenname;2022_05_06_Weizen_ABA;0,00016508;349,5160238;1195859;1763;3100;3
ABAU1,JPG;06,05,2022;Pflanzenname;2022_05_06_Weizen_ABA;0,000146733;611,9498579;2114451;2075;3835;4
ABAU2,JPG;06,05,2022;Pflanzenname;2022_05_06_Weizen_ABA;0,00012702;603,267797;2055668;2301;3456;5
ABAU3,JPG;06,05,2022;Pflanzenname;2022_05_06_Weizen_ABA;2,89E-05;637,5943922;2168835;2589;3747;6
UG1,JPG;06,05,2022;Pflanzenname;2022_05_06_Weizen_ABA;0,000158976;288,7625786;989141;2166;3339;7
UG2,JPG;06,05,2022;Pflanzenname;2022_05_06_Weizen_ABA;0,00024382;317,7080659;1092082;2275;2670;8
UG3,JPG;06,05,2022;Pflanzenname;2022_05_06_Weizen_ABA;0,000175567;294,9099574;976193;1557;3059;9
UU1,JPG;06,05,2022;Pflanzenname;2022_05_06_Weizen_ABA;7,96E-05;592,2236574;1982713;2516;3279;10
UU2,JPG;06,05,2022;Pflanzenname;2022_05_06_Weizen_ABA;0,000104596;595,8450913;1984176;3316;3034;11
UU3,JPG;06,05,2022;Pflanzenname;2022_05_06_Weizen_ABA;0,000252891;609,2374923;2034829;2327;3196;12
