file;date;organism;folder;pixel_area;plant_area_green;plant_pixel_count_green;plant_area_complete;plant_pixel_count_complete;plant_area_drought;plant_pixel_count_drought;drought_fraction;plant_number
G14 (1),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007054698457223002;319,3520897615708;452680;373,027762973352;528765;180,86976998597476;256382;0,4848694599680387;1
G14 (2),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007451851851851852;501,00812;672327;513,8476607407407;689557;197,16407703703703;264584;0,38370141989712236;2
G14 (3),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007598187311178248;543,375247734139;715138;564,1509712990937;742481;235,79834592145016;310335;0,41797029149567466;3
G14 (4),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007451851851851852;501,4261688888889;672888;520,0662311111112;697902;236,33399111111112;317148;0,4544305647497786;4
G14 (5),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007485119047619048;410,617912202381;548579;451,86540922619054;603685;235,9661324404762;315247;0,5222044609357529;5
G14 (6),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007541229385307347;516,0930824587706;684362;552,6341094452774;732817;244,4308515742129;324126;0,44230142040918813;6
G14 (7),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007462908011869437;454,3082566765579;608755;491,49741988130563;658587;213,72126706231455;286378;0,43483700710764106;7
G21 (1),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007529940119760479;353,54725449101795;469522;402,6138502994012;534684;152,70266766467066;202794;0,37927822788787396;8
G21 (2),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007375366568914956;427,7660982404692;579993;463,05427712609975;627839;200,6276715542522;272024;0,4332703129305443;9
G21 (3),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007386196769456682;408,52685022026435;553095;441,57786490455214;597842;180,3694478707783;244198;0,4084657819290047;10
G21 (4),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007429837518463811;325,8273515509601;438539;378,9722363367799;510068;169,7918478581979;228527;0,44803241920685083;11
G21 (5),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007321688500727802;350,6839854439593;478966;397,9081441048035;543465;183,29700727802037;250348;0,4606515598980615;12
G21 (6),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007258297258297259;372,4856536796537;513186;418,7514920634921;576928;170,75652380952383;235257;0,4077753203172666;13
G21 (7),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007124645892351275;365,81921813031164;513456;424,0973966005666;595254;191,09226487252124;268213;0,45058580034741474;14
G28 (1),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007144886363636364;313,1832329545455;438332;386,9756193181818;541612;160,98000568181817;225308;0,4159952142862418;15
G28 (2),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007691131498470948;391,2770856269113;508738;424,69966666666664;552194;154,6232767584098;201041;0,3640767556329841;16
G28 (3),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007667682926829269;349,00762347560976;455167;394,81742835365856;514911;147,63663414634146;192544;0,37393646669036007;17
