file;date;organism;folder;pixel_area;plant_area_green;plant_pixel_count_green;plant_area_complete;plant_pixel_count_complete;plant_area_drought;plant_pixel_count_drought;drought_fraction;plant_number
G14 (1).jpg;2023-04-19;Pflanzenname;GFA 19.04.2023 Exp2.1 Original;0.0006481958762886598;274.6775399484536;423757;322.1935386597938;497062;114.96596520618556;177363;0.35682269012718737;1
G14 (2).jpg;2023-04-19;Pflanzenname;GFA 19.04.2023 Exp2.1 Original;0.0006575163398692811;435.7827620915033;662771;476.58296601307194;724823;182.2707620915033;277211;0.3824533713748046;2
G14 (3).jpg;2023-04-19;Pflanzenname;GFA 19.04.2023 Exp2.1 Original;0.0006549479166666666;372.0202408854166;568015;428.36672005208334;654047;147.20150911458333;224753;0.3436343259735157;3
G14 (4).jpg;2023-04-19;Pflanzenname;GFA 19.04.2023 Exp2.1 Original;0.0006507115135834412;383.51374902975425;589376;416.257552393273;639696;155.7881448900388;239412;0.37425902303594205;4
G14 (5).jpg;2023-04-19;Pflanzenname;GFA 19.04.2023 Exp2.1 Original;0.0006558018252933507;366.3859869621904;558684;407.4870547588005;621357;157.56556975228162;240264;0.3866762585759877;5
G14 (6).jpg;2023-04-19;Pflanzenname;GFA 19.04.2023 Exp2.1 Original;0.0006432225063938619;413.3521496163683;642627;467.1429181585678;726254;189.64901023017902;294842;0.40597642147237745;6
G14 (7).jpg;2023-04-19;Pflanzenname;GFA 19.04.2023 Exp2.1 Original;0.0006583769633507853;309.1567041884817;469574;381.9626623036649;580158;137.25250392670156;208471;0.3593348708455283;7
G21 (1).jpg;2023-04-19;Pflanzenname;GFA 19.04.2023 Exp2.1 Original;0.0006415816326530612;307.4144808673469;479151;366.32001530612246;570964;116.61387755102041;181760;0.31833880945208454;8
G21 (2).jpg;2023-04-19;Pflanzenname;GFA 19.04.2023 Exp2.1 Original;0.0006465295629820052;414.99892159383035;641887;452.5629357326478;699988;154.2632467866324;238602;0.3408658434144585;9
G21 (3).jpg;2023-04-19;Pflanzenname;GFA 19.04.2023 Exp2.1 Original;0.0006635883905013192;398.2651807387862;600169;427.28456464379946;643900;164.47303693931397;247854;0.3849262307811772;10
G21 (4).jpg;2023-04-19;Pflanzenname;GFA 19.04.2023 Exp2.1 Original;0.000689041095890411;409.6094369863014;594463;462.26182328767123;670877;148.177598630137;215049;0.3205490723336767;11
G21 (5).jpg;2023-04-19;Pflanzenname;GFA 19.04.2023 Exp2.1 Original;0.0006558018252933507;397.1739152542373;605631;452.18585136897;689516;158.87323859191656;242258;0.35134500142128683;12
G21 (6).jpg;2023-04-19;Pflanzenname;GFA 19.04.2023 Exp2.1 Original;0.0006778975741239892;385.25122506738546;568303;437.9570835579515;646052;155.89678301886792;229971;0.35596360664466636;13
G21 (7).jpg;2023-04-19;Pflanzenname;GFA 19.04.2023 Exp2.1 Original;0.0006635883905013192;356.92495118733507;537871;416.6319802110818;627847;133.5975963060686;201326;0.32066092535283275;14
G28 (1).jpg;2023-04-19;Pflanzenname;GFA 19.04.2023 Exp2.1 Original;0.0006566579634464752;283.06554830287206;431070;363.37481723237596;553370;114.25520234986945;173995;0.31442795959303904;15
G28 (2).jpg;2023-04-19;Pflanzenname;GFA 19.04.2023 Exp2.1 Original;0.0006415816326530612;381.9521517857143;595329;432.7275637755102;674470;161.3032461734694;251415;0.37275935178732933;16
G28 (3).jpg;2023-04-19;Pflanzenname;GFA 19.04.2023 Exp2.1 Original;0.0006456996148908857;288.2383709884467;446397;361.5433568677792;559925;131.7698575096277;204073;0.36446488368977986;17
G28 (4).jpg;2023-04-19;Pflanzenname;GFA 19.04.2023 Exp2.1 Original;0.0006456996148908857;264.595433889602;409781;333.0428215661104;515786;107.58582413350449;166619;0.32303901230355225;18
