file;date;organism;folder;pixel_area;plant_area_green;plant_pixel_count_green;plant_area_complete;plant_pixel_count_complete;plant_area_drought;plant_pixel_count_drought;drought_fraction;plant_number
G14 (1),JPG;2023-03-31;Pflanzenname;GFA 31,03,2023 Exp2,1 Original;0,0006225247524752475;179,79448638613863;288815;188,08215841584158;302128;85,60026608910891;137505;0,4551216702854419;1
G14 (2),JPG;2023-03-31;Pflanzenname;GFA 31,03,2023 Exp2,1 Original;0,0006440460947503201;232,21017541613315;360549;233,8679500640205;363123;74,89805249679898;116293;0,3202578740536953;2
G14 (3),JPG;2023-03-31;Pflanzenname;GFA 31,03,2023 Exp2,1 Original;0,0006424010217113666;227,34122477650064;353893;228,60097318007664;355854;52,944765006385694;82417;0,23160341038740606;3
G14 (4),JPG;2023-03-31;Pflanzenname;GFA 31,03,2023 Exp2,1 Original;0,0006351010101010101;220,46388383838382;347132;223,06716287878788;351231;76,8313446969697;120975;0,34443144255489977;4
G14 (5),JPG;2023-03-31;Pflanzenname;GFA 31,03,2023 Exp2,1 Original;0,0006279650436953807;207,18953058676652;329938;214,04753682896379;340859;101,49987390761547;161633;0,47419314144558306;5
G14 (6),JPG;2023-03-31;Pflanzenname;GFA 31,03,2023 Exp2,1 Original;0,0006264009962640099;181,7201818181818;290102;186,99823661270236;298528;79,35185180572851;126679;0,4243454550326938;6
G14 (7),JPG;2023-03-31;Pflanzenname;GFA 31,03,2023 Exp2,1 Original;0,0006367088607594937;219,63272151898735;344950;221,9236;348548;71,34641139240506;112055;0,3214908706978666;7
G21 (1),JPG;2023-03-31;Pflanzenname;GFA 31,03,2023 Exp2,1 Original;0,0006186961869618697;213,15754120541206;344527;216,5708880688807;350044;93,99913038130381;151931;0,4340340071533864;8
G21 (2),JPG;2023-03-31;Pflanzenname;GFA 31,03,2023 Exp2,1 Original;0,0006383248730964467;219,7426992385787;344249;220,38166243654823;345250;79,79124746192893;125001;0,36205937726285303;9
G21 (3),JPG;2023-03-31;Pflanzenname;GFA 31,03,2023 Exp2,1 Original;0,00062875;209,18260999999998;332696;209,87109124999998;333791;44,162142499999995;70238;0,21042508635643262;10
G21 (4),JPG;2023-03-31;Pflanzenname;GFA 31,03,2023 Exp2,1 Original;0,0006149144254278729;207,77896943765282;337899;211,80419926650367;344445;75,85953300733496;123366;0,35815877716326266;11
G21 (5),JPG;2023-03-31;Pflanzenname;GFA 31,03,2023 Exp2,1 Original;0,0006240694789081886;221,22202109181143;354483;224,10647022332506;359105;90,3265682382134;144738;0,4030520321354478;12
